old z gwiazdka;old;new;typ 301;wild
/shop/bs-750-pia-stoowa-dr-schulze-bs-750-400v-46491*;/shop/bs-750-pia-stoowa-dr-schulze-bs-750-400v-46491;/p/pila-stolowa-dr-schulze-bs-750-400v;301;1
/shop/pk70r-pia-stoowa-spn-700-superior-do-bloczkow-betonowych-47494*;/shop/pk70r-pia-stoowa-spn-700-superior-do-bloczkow-betonowych-47494;/p/pila-stolowa-spn-700-superior-400v-z-tarcza-diamentowa-ksp700;301;1
/shop/70184630312-pia-stoowa-do-kostki-norton-clipper-cm-351-uno-tarcza-350mm-gratis-47529*;/shop/70184630312-pia-stoowa-do-kostki-norton-clipper-cm-351-uno-tarcza-350mm-gratis-47529;/p/pila-stolowa-do-kostki-norton-clipper-cm-351-uno-gratis-tarcza-350-mm;301;1
/shop/5100053792-ubijak-elektryczny-wacker-neuson-as-50-e-11-100822*;/shop/5100053792-ubijak-elektryczny-wacker-neuson-as-50-e-11-100822;/p/ubijak-akumulatorowy-wacker-neuson-as-50-e-11;301;1
/shop/category/ubijaki-stopy-316*;/shop/category/ubijaki-stopy-316;/c/ubijaki-gruntu-skoczki;301;1
/shop/category/niwelatory-laserowe-391*;/shop/category/niwelatory-laserowe-391;/c/niwelatory-pomiary;301;1
/shop/category/zacieraczki-do-betonu-291*;/shop/category/zacieraczki-do-betonu-291;/c/zacieraczki-do-betonu;301;1
/shop/category/zageszczarki-310*;/shop/category/zageszczarki-310;/c/zageszczarki-gruntu;301;1
/shop/category/pily-do-ciecia-pustakow-434*;/shop/category/pily-do-ciecia-pustakow-434;/c/pily-do-pustakow-500-1000-mm;301;1
/shop/category/szorowarki-492*;/shop/category/szorowarki-492;/c/automaty-czyszczace;301;1
/shop/category/zacieraczki-do-betonu-zacieraczki-pojedyncze-292*;/shop/category/zacieraczki-do-betonu-zacieraczki-pojedyncze-292;/c/zacieraczki-pojedyncze;301;1
/shop/category/zacieraczki-do-betonu-zacieraczki-samojezdne-293*;/shop/category/zacieraczki-do-betonu-zacieraczki-samojezdne-293;/c/zacieraczki-samojezdne;301;1
/shop/category/zacieraczki-samojezdne-293*;/shop/category/zacieraczki-samojezdne-293;/c/zacieraczki-samojezdne;301;1
/shop/category/zacieraczki-pojedyncze-292*;/shop/category/zacieraczki-pojedyncze-292;/c/zacieraczki-pojedyncze;301;1
/shop/category/talerze-do-zacieraczki-299*;/shop/category/talerze-do-zacieraczki-299;/c/akcesoria-do-zacieraczek;301;1
/shop/48936*;/shop/48936;/p/osuszacz-powietrza-master-dh-44;301;1
/shop/category/walce-317*;/shop/category/walce-317;/c/walce;301;1
/shop/category/akcesoria-do-zageszczarek-546*;/shop/category/akcesoria-do-zageszczarek-546;/c/akcesoria-do-zageszczarek;301;1
/shop/category/piy-do-ciecia-kostki-brukowej-300-400-mm-435*;/shop/category/piy-do-ciecia-kostki-brukowej-300-400-mm-435;/c/pily-stolowe-do-400-mm;301;1
/shop/4512-493-osuszacz-kondensacyjny-powietrza-master-dh-732-48942*;/shop/4512-493-osuszacz-kondensacyjny-powietrza-master-dh-732-48942;/p/osuszacz-powietrza-master-dh-732;301;1
/agregaty-10kw/380-agregat-jednofazowy-230v-fv-11001-te-fogo.html*;/agregaty-10kw/380-agregat-jednofazowy-230v-fv-11001-te-fogo.html;/p/agregat-pradotworczy-jednofazowy-fogo-fv-11001-te;301;1
/product/nivel-system-ch-6*;/product/nivel-system-ch-6;/p/ladowarka-nivel-system-ch-6;301;1
/product/nivel-system-ch-5*;/product/nivel-system-ch-5;/p/ladowarka-nivel-system-ch-5;301;1
/product/nivel-system-ch-1*;/product/nivel-system-ch-1;/p/ladowarka-nivel-system-ch-1;301;1
/product/nivel-system-ch-3*;/product/nivel-system-ch-3;/p/ladowarka-nivel-system-ch-3;301;1
