id_product;name
335;"Agregat prądotwórczy jednofazowy Wacker Neuson GV 7000A"
336;"Agregat prądotwórczy jednofazowy Wacker Neuson MG 10"
337;"Agregat prądotwórczy jednofazowy Wacker Neuson MG 2i inwerterowy"
339;"Agregat prądotwórczy jednofazowy Wacker Neuson MG 3"
341;"Agregat prądotwórczy jednofazowy Wacker Neuson MG 5"
343;"Agregat prądotwórczy jednofazowy Wacker Neuson MG 7"
344;"Agregat prądotwórczy na WOM traktorowy FOGO AGROVOLT AV 18"
347;"Agregat prądotwórczy na WOM traktorowy FOGO AGROVOLT AV 22"
349;"Agregat prądotwórczy na WOM traktorowy FOGO AGROVOLT AV 22 R"
351;"Agregat prądotwórczy na WOM traktorowy FOGO AGROVOLT AV 27"
353;"Agregat prądotwórczy na WOM traktorowy FOGO AGROVOLT AV 38"
354;"Agregat prądotwórczy na WOM traktorowy FOGO AGROVOLT AV 38 R"
357;"Agregat prądotwórczy na WOM traktorowy PRAMAC TG12/3"
359;"Agregat prądotwórczy na WOM traktorowy PRAMAC TG16/3"
360;"Agregat prądotwórczy na WOM traktorowy PRAMAC TG20/3"
362;"Agregat prądotwórczy na WOM traktorowy PRAMAC TG25/3"
364;"Agregat prądotwórczy na WOM traktorowy PRAMAC TG27/15"
366;"Agregat prądotwórczy na WOM traktorowy PRAMAC TG30/15"
368;"Agregat prądotwórczy na WOM traktorowy PRAMAC TG42/15"
371;"Agregat prądotwórczy na WOM traktorowy PRAMAC TG48/15"
373;"Agregat prądotwórczy na WOM traktorowy PRAMAC TG72/15"
380;"Agregat prądotwórczy trójfazowy Altrad Belle ABGT 7700"
381;"Agregat prądotwórczy trójfazowy Altrad Belle ABGT 7700AVR"
383;"Agregat prądotwórczy trójfazowy Altrad Belle ABGT 8700"
375;"Agregat prądotwórczy trójfazowy Altrad Belle ABGT10200R"
377;"Agregat prądotwórczy trójfazowy Altrad Belle ABGT10500"
5375;"Agregat prądotwórczy trójfazowy Fogo F 8000 TR"
385;"Agregat prądotwórczy trójfazowy FOGO FH 6000"
387;"Agregat prądotwórczy trójfazowy FOGO FH 6000 R"
391;"Agregat prądotwórczy trójfazowy FOGO FH 8000"
396;"Agregat prądotwórczy trójfazowy FOGO FH 8000 TE"
397;"Agregat prądotwórczy trójfazowy FOGO FH 8000 TR"
400;"Agregat prądotwórczy trójfazowy FOGO FH 8000 TRE"
392;"Agregat prądotwórczy trójfazowy Fogo FH 8000R"
394;"Agregat prądotwórczy trójfazowy FOGO FH 8000T"
398;"Agregat prądotwórczy trójfazowy FOGO FH 8000TRA"
402;"Agregat prądotwórczy trójfazowy FOGO FH 9000"
405;"Agregat prądotwórczy trójfazowy FOGO FH 9000 CRA"
407;"Agregat prądotwórczy trójfazowy FOGO FH 9000 R"
410;"Agregat prądotwórczy trójfazowy FOGO FH 9000 TE"
412;"Agregat prądotwórczy trójfazowy FOGO FH 9000 TR"
408;"Agregat prądotwórczy trójfazowy FOGO FH 9000T"
414;"Agregat prądotwórczy trójfazowy FOGO FH 9000TRA"
415;"Agregat prądotwórczy trójfazowy FOGO FH 9000TRE"
418;"Agregat prądotwórczy trójfazowy FOGO FH 9540"
423;"Agregat prądotwórczy trójfazowy FOGO FH 9540 TRE"
420;"Agregat prądotwórczy trójfazowy FOGO FH 9540TR"
421;"Agregat prądotwórczy trójfazowy FOGO FH 9540TRA"
389;"Agregat prądotwórczy trójfazowy FOGO FH6540"
425;"Agregat prądotwórczy trójfazowy FOGO FM 6000"
426;"Agregat prądotwórczy trójfazowy FOGO FM 6000R"
429;"Agregat prądotwórczy trójfazowy FOGO FM 6540"
430;"Agregat prądotwórczy trójfazowy FOGO FM 8000"
432;"Agregat prądotwórczy trójfazowy FOGO FM 8000E"
435;"Agregat prądotwórczy trójfazowy FOGO FM 8000R"
438;"Agregat prądotwórczy trójfazowy FOGO FM 8000RE"
441;"Agregat prądotwórczy trójfazowy FOGO FM 9000"
444;"Agregat prądotwórczy trójfazowy FOGO FM 9000E"
443;"Agregat prądotwórczy trójfazowy FOGO FM 9000R"
446;"Agregat prądotwórczy trójfazowy FOGO FM 9000RE"
448;"Agregat prądotwórczy trójfazowy FOGO FM 9540"
451;"Agregat prądotwórczy trójfazowy FOGO FV 13000 CRA"
453;"Agregat prądotwórczy trójfazowy FOGO FV 13000 TE"
455;"Agregat prądotwórczy trójfazowy FOGO FV 13000 TRA"
457;"Agregat prądotwórczy trójfazowy FOGO FV 13000 TRE"
461;"Agregat prądotwórczy trójfazowy FOGO FV 13540 TRA"
462;"Agregat prądotwórczy trójfazowy FOGO FV 13540 TRE"
466;"Agregat prądotwórczy trójfazowy FOGO FV 15000 CRA"
469;"Agregat prądotwórczy trójfazowy FOGO FV 15000 TE"
470;"Agregat prądotwórczy trójfazowy FOGO FV 15000 TRA"
472;"Agregat prądotwórczy trójfazowy FOGO FV 15000 TRE"
476;"Agregat prądotwórczy trójfazowy FOGO FV 15540 TRA"
478;"Agregat prądotwórczy trójfazowy FOGO FV 15540 TRE"
479;"Agregat prądotwórczy trójfazowy FOGO FV 20000 CRA"
482;"Agregat prądotwórczy trójfazowy FOGO FV 20000 TE"
484;"Agregat prądotwórczy trójfazowy FOGO FV 20000 TRA"
486;"Agregat prądotwórczy trójfazowy FOGO FV 20000 TRE"
488;"Agregat prądotwórczy trójfazowy FOGO FV 20540 TRA"
489;"Agregat prądotwórczy trójfazowy FOGO FV 20540 TRE"
491;"Agregat prądotwórczy trójfazowy PRAMAC E4500"
492;"Agregat prądotwórczy trójfazowy PRAMAC E6000"
494;"Agregat prądotwórczy trójfazowy PRAMAC ES5000 AVR"
496;"Agregat prądotwórczy trójfazowy PRAMAC ES8000 AVR"
498;"Agregat prądotwórczy trójfazowy PRAMAC MES15000"
500;"Agregat prądotwórczy trójfazowy PRAMAC MES5000"
503;"Agregat prądotwórczy trójfazowy PRAMAC MES5000 AVR"
504;"Agregat prądotwórczy trójfazowy PRAMAC MES8000"
506;"Agregat prądotwórczy trójfazowy PRAMAC MES8000 AVR"
510;"Agregat prądotwórczy trójfazowy PRAMAC P11000"
511;"Agregat prądotwórczy trójfazowy PRAMAC P12000 AVR"
512;"Agregat prądotwórczy trójfazowy PRAMAC P14000 AVR"
514;"Agregat prądotwórczy trójfazowy PRAMAC P18000 AVR"
517;"Agregat prądotwórczy trójfazowy PRAMAC P6000"
518;"Agregat prądotwórczy trójfazowy PRAMAC P6000S"
522;"Agregat prądotwórczy trójfazowy PRAMAC P9000 AVR"
526;"Agregat prądotwórczy trójfazowy PRAMAC PMD5050s"
528;"Agregat prądotwórczy trójfazowy PRAMAC PX8000 AVR"
531;"Agregat prądotwórczy trójfazowy PRAMAC S12000 AVR"
533;"Agregat prądotwórczy trójfazowy PRAMAC S15000"
536;"Agregat prądotwórczy trójfazowy PRAMAC S5000 AVR"
538;"Agregat prądotwórczy trójfazowy PRAMAC S6000"
540;"Agregat prądotwórczy trójfazowy PRAMAC S8000 AVR"
542;"Agregat prądotwórczy trójfazowy PRAMAC S9000"
546;"Agregat prądotwórczy trójfazowy PRAMAC SP12000 AVR"
548;"Agregat prądotwórczy trójfazowy PRAMAC SP8000 AVR"
550;"Agregat prądotwórczy trójfazowy PRAMAC WX6250 ES"
553;"Agregat prądotwórczy trójfazowy PRAMAC X12000"
555;"Agregat prądotwórczy trójfazowy Wacker Neuson GS 12AI"
556;"Agregat prądotwórczy trójfazowy Wacker Neuson GV 5003A"
557;"Agregat prądotwórczy trójfazowy Wacker Neuson GV 7003A"
560;"Agregat prądotwórczy trójfazowy z modułem spawalniczym Altrad Belle ABGW 220"
562;"Agregat prądotwórczy trójfazowy z modułem spawalniczym FOGO FH 8220 TW"
564;"Agregat prądotwórczy trójfazowy z modułem spawalniczym FOGO FH 8220 TWE"
565;"Agregat prądotwórczy trójfazowy z modułem spawalniczym FOGO FH 8220 W"
567;"Agregat prądotwórczy trójfazowy z modułem spawalniczym FOGO FH 9220 TW"
568;"Agregat prądotwórczy trójfazowy z modułem spawalniczym FOGO FH 9220 TWE"
570;"Agregat prądotwórczy trójfazowy z modułem spawalniczym FOGO FH 9220 W"
572;"Agregat prądotwórczy trójfazowy z modułem spawalniczym FOGO FM 8220W"
573;"Agregat prądotwórczy trójfazowy z modułem spawalniczym FOGO FM 8220WE"
576;"Agregat prądotwórczy trójfazowy z modułem spawalniczym FOGO FM 9220W"
578;"Agregat prądotwórczy trójfazowy z modułem spawalniczym FOGO FM 9220WE"
580;"Agregat prądotwórczy trójfazowy z modułem spawalniczym FOGO FV 11300TWE"
581;"Akumulator 6Ah MASTER"
583;"Akumulator do lasera Geo5Xi−L360 HP"
586;"Akumulator do lasera Geo6X GREEN SP Li-Ion"
587;"Akumulator do lasera Geo6X SP Li−Ion"
590;"Akumulator do lasera liniowego FL 65 HP"
591;"Akumulator do lasera liniowego FL 80 Tracking SP"
594;"Akumulator Li-Ion do niwelatora laserowego FL 150H-G"
595;"Akumulator Li-Ion do niwelatora laserowego FL 260/265"
597;"Akumulator MXF CP203 FUEL™ REDLITHIUM™ 3.0Ah Milwaukee dla serii MX"
599;"Akumulator MXF CP406 FUEL™ REDLITHIUM™ 6.0Ah Milwaukee dla serii MX"
600;"Akumulator Ni-MH do niwelatora laserowego FL 180 A"
601;"Akumulator Ni-MH do niwelatora laserowego FL 240HV-Green"
604;"Akumulator Ni-MH do niwelatora laserowego FLG 245HV-Green"
607;"Akumulator plus do wózka nożycowego LIFTER BY PRAMAC HX10 E"
610;"Akumulator REDLITHIUMTM 3,0 Ah z wyjściem USB Milwaukee | L4 B3"
611;"Akumulator żel do wózka nożycowego LIFTER BY PRAMAC HX10 E"
605;"Akumulatorowa latarka-czołówka USB HI-VIS Milwaukee | L4 HL-VIS-301"
612;"Aluminiowy drążek Enar do listwy ręcznej TR, TRO, BG i LRO"
615;"Anemometr-termometr FTA 1"
616;"Automatyczny system załączania rezerwy SZR do agregatów PRAMAC z CONN"
618;"Balon oświetleniowy Wacker Neuson LB 50H (modułowy)"
619;"Balon oświetleniowy Wacker Neuson LB 80M (modułowy)"
621;"Barierka budowlana STANDARD Altrad Belle"
623;"Bateria 58V 4Ah Enar VIB-BAR E-BATT"
5400;"Bateria Conmec (60 V | 55 Ah)"
5402;"Bateria Conmec (72 V | 55 Ah)"
5501;"Bateria Conmec do CPV-E Back Pack (48 V | 20,8 Ah)"
5352;"Bateria LiFePo Beton Trowel (18 Ah) dla BT60BCL / BT75BCL"
5353;"Bateria LiFePo Beton Trowel (30 Ah) dla BT60BCL / BT75BCL"
624;"Bateria Wacker Neuson BP 1000"
626;"Bateria Wacker Neuson BP 1400"
629;"Bateria Wacker Neuson BP 500"
631;"BĘBEN ENAR DO FREZARKI FEN 200"
632;"Bęben kompletny (z Frezami z węglika TCT do betonu Husqvarna  CG200)"
634;"Bęben z Frezami do betonu Husqvarna  CG200"
638;"Betoniarka Altrad Belle BWE-150K (400 V)"
640;"Betoniarka Altrad Belle BWE-150KJ (230 V)"
641;"Betoniarka Altrad Belle BWE-185 (230 V)"
643;"Betoniarka Altrad Belle BWE-190 (korba, 230 V)"
645;"Betoniarka Altrad Belle BWE-200K (400 V)"
647;"Betoniarka Altrad Belle BWE-200KJ (kabel zasilający, 230 V)"
648;"Betoniarka Altrad Belle BWE-250K (400 V)"
650;"Betoniarka Altrad Belle BWE-250KJ (230 V)"
653;"Betoniarka Altrad Belle MINIMIX 150 (230 V)"
655;"Betoniarka Altrad Belle MIX-130/Ż (230 V)"
659;"Betoniarka ALTRAD BELLE MK 185 PROFI"
657;"Betoniarka Altrad Belle MK-165/B (230 V)"
660;"Betoniarka Altrad Belle SUPERIOR 300E (230 V)"
662;"Betoniarka Altrad Belle SUPERIOR 300E (400 V)"
665;"Betoniarka Altrad Belle SUPERIOR 350E (230 V)"
667;"Betoniarka Altrad Belle SUPERIOR 350E (400 V)"
670;"Betoniarka Spalinowa Altrad Belle MINIMIX 150 (Honda GX120)"
673;"Bezprzewodowy detektor laserowy FMR 800-M/C do maszyn budowlanych"
672;"Boczne uchwyty do przeciągania listwy wibracyjnej Altrad Belle PORTO SCREED 3,25 - 5,2 m"
676;"Bruzdownica NORTON CLIPPER SC181"
677;"Bruzdownica NORTON CLIPPER SC401"
679;"Bruzdownica Tyrolit HCE150"
684;"Brzeszczot (standard) do piły taśmowej Dr. Schulze BAS 650"
681;"Brzeszczot do piły taśmowej Norton Clipper CB511"
682;"Brzeszczot Standard do piły taśmowej Dr. Schulze BAS 400"
687;"Brzeszczot węglikowy do Porothermu dla Dr. Schulze BAS650"
689;"Buława w formie lancy M5FP (0.8 m)"
690;"Buława w formie lancy M5FP (1.6 m)"
693;"Buława wibracyjna ABP 38 mm Enar VIB-BAR E-BATT"
697;"Buława wibracyjna Enar AX 25 dla TDXE, TAXE"
4888;"Buława wibracyjna Enar AX 25-60 mm"
698;"Buława wibracyjna Enar AX 32 dla TAXE, TDXE"
700;"Buława wibracyjna Enar AX 40 dla TAX, TDX"
702;"Buława wibracyjna Enar AX 45 dla VIB-BAR"
703;"Buława wibracyjna Enar AX 48 dla TAX, TDX"
705;"Buława wibracyjna Enar AX 58 dla TAX, TDX"
709;"Buława wibracyjna HUSQVARNA AT29 29 mm"
710;"Buława wibracyjna HUSQVARNA AT39 39 mm"
712;"Buława wibracyjna HUSQVARNA AT49 49 mm"
714;"Buława wibracyjna HUSQVARNA AT59 59 mm"
715;"Buława wibracyjna Wacker Neuson H25 25 MM"
718;"Buława wibracyjna Wacker Neuson H25 HA 26 MM"
721;"Buława wibracyjna Wacker Neuson H35 35 MM"
723;"Buława wibracyjna Wacker Neuson H35 HA 36 MM"
725;"Buława wibracyjna Wacker Neuson H35 S 35 MM"
726;"Buława wibracyjna Wacker Neuson H45 45 MM"
727;"Buława wibracyjna Wacker Neuson H45 HA 45 mm"
731;"Buława wibracyjna Wacker Neuson H45 S 45 MM"
732;"Buława wibracyjna Wacker Neuson H50 HA 50 MM"
735;"Buława wibracyjna Wacker Neuson H55 57 MM"
737;"Buława wibratora Altrad Belle Megavib+ 36 mm"
738;"Buława wibratora Altrad Belle Megavib+ 50 mm"
